Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull
61,15,16,Sefine Shipyard Co Inc,LFGH3,5-Reserved,Det Norske Veritas,216.9,Norway,5308,Tassal_fish_farm,7.24,7.1,1071900,null,Norway (Nis),4027,206,9839337,DOVER,-43.41259,82,147.129738,257076980,Aqua Spa,0-Underway(Engine),null,Solvtrans Rederi AS,  Unknown,Gard,Aalesund                              ,Propeller : Azimuth Elec Dr,null,null,null,0.1,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:32:13.000Z""",1668184333,7-Cargo,29/12/2018,11,SH
null,null,null,null,null,null,null,260.5,null,null,null,null,null,null,null,null,null,260.5,null,null,-7.25151,null,125.916477,525600752,null,15-NotDefined,null,null,null,null,null,null,null,null,null,5.3,null,null,null,"""2022-02-17T19:20:33.000Z""",1645125633,null,null,null,null
71,13,15,Komuny Paryskiej Stocznia,UDVM,0-AllShips,Russian Maritime Register,119,Russia,2397,Sea Of Okhotsk,5.601,5.6,11070800,null,Russia,3226,121,8313879,VLADIVOSTOK,59.033167,95,145.500383,273442740,Bukhta Nagaeva,1-AtAnchor,null,MAG-SEA International,MAG-SEA International,VSK Insurance,Vladivostok,Propeller : Fixed Pitch,null,null,null,9.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T14:55:08.000Z""",1668178508,7-Cargo,30/04/1984,0,SH
14,2,5,null,HO6689,0-AllShips,null,-1,null,null,,null,0,0,null,null,null,167.1,0,LA LIBERTAD,-2.216932,16,-80.923053,351219000,Angula,15-NotDefined,null,null,null,null,null,null,null,null,null,0.2,null,null,null,"""2022-07-05T17:52:14.000Z""",1657043534,37-Pleasure,null,null,null
110,8,21,Zhejiang Tenglong Shipyard,BZW5N,9-NoInfo,null,287.7,China,null,1,null,0,0,GH-0861,"China, People's Republic Of",7931,287.7,0,RADA PUNTA ARENAS,-16.377322,134,-84.412897,412421088,Jinzhou,15-NotDefined,3.309E+15,Zhoushan Jinhai Deep-Sea,  Unknown,Unknown,"Zhoushan, Zhejiang",Propeller : Fixed Pitch,null,null,null,10.5,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:01:25.000Z""",1668182485,7-Cargo,null,0,SH
10,5,9,Rigas Buvetava,LLQC,0-AllShips,null,193,Norway,650,Las Palmas,4.85,5,12111200,null,Norway,670,193,9255048,ALESUND,42.752477,51,-10.639242,258599000,Doennalaks,0-Underway(Engine),null,Intership AS,Intership AS,Unknown,Bodo,Propeller : Fixed Pitch,null,null,null,10.8,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:35:56.000Z""",1668184556,7-Cargo,10/10/2001,0,SH
8,5,10,null,,0-AllShips,null,100.3,null,null,,null,0,0,null,null,null,100.3,0,JURONG ISLAND,1.208997,24,103.839965,525101998,Cahaya Abadi,15-NotDefined,null,null,null,null,null,null,null,null,null,7.1,null,null,null,"""2020-02-28T08:12:50.000Z""",1582877570,7-Cargo,null,null,null
13,6,13,Guangzhou Huangpu Shipbuilding,CA4365,0-AllShips,Bureau Veritas,168.9,Chile,1932,Valverde1,5.01,5,11112200,null,Chile,1573,175,9686962,PUERTO MONTT,-43.36271,64,-73.630108,725001072,Vali,0-Underway(Engine),3350,Detroit Chile SA,Detroit Chile SA,West of England,Valparaiso,Propeller : Fixed Pitch,null,null,null,8.4,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:37:48.000Z""",1668184668,4-HSC,30/07/2013,12,SH
20,9,18,Sunandar,YB5541,Unknown,null,305.1,Indonesia,null,,null,0,0,null,Indonesia,102,305.1,0,BENOA,-4.380113,40,129.842467,525500990,Mutiara-20,15-NotDefined,15.19.0001.02.46682,Intimas Surya PT,  Unknown,Unknown,Semarang,Propeller : Fixed Pitch,null,null,null,8.5,S,In Service/Commission,Fish Carrier,"""2022-03-02T23:21:29.000Z""",1646263289,0-Unknown,null,0,null
93,12,18,61 Kommunara,UBZW7,0-AllShips,Bureau Veritas,352.3,Russia,6620,Ruvvo,7.5,7,11100900,null,Russia,6965,185,9076246,VLADIVOSTOK,43.087962,134,131.807512,273296490,Frio Poseidon,1-AtAnchor,null,Lodia LLC,  Unknown,Unknown,Vladivostok,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:31:58.000Z""",1668184318,7-Cargo,1993-08-00,16.5,null
117,8,23,Shikoku Dockyard,C6DD4,9-NoInfo,Bureau Veritas,358.3,Netherlands,10545,Nl Ijm,9.067,7.6,11040700,null,Bahamas,10374,303,9055709,VIGO,52.46142,151,4.584837,311000644,Fegulus,5-Moored,null,Seatrade Reefer Chartering NV,Seatrade Groningen BV,Skuld,Nassau,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:29:51.000Z""",1668184191,7-Cargo,11/03/1993,20.7,null
81,8,16,null,,0-AllShips,null,346.3,null,null,A,null,4.2,8311300,null,null,null,128,0,PUSAN,24.633652,99,118.67047,412331486,Lurongyuanyuyun009,0-Underway(Engine),null,null,null,null,null,null,null,null,null,0,null,null,null,"""2022-11-11T16:26:56.000Z""",1668184016,30-Fishing,null,null,null
45,7,15,null,9LU2026,0-AllShips,null,0,null,null,Sekupamg Batam,null,2.6,10051130,null,null,null,0,9336476,PULAU SAMBU,1.113467,57,103.93753,667001223,Kelanis Express,5-Moored,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2020-10-17T02:55:15.000Z""",1602903315,7-Cargo,null,null,null
81,8,16,null,3FHN6,0-AllShips,null,38,null,null,Ctg,null,5.2,6301000,null,null,null,38,8421298,TARAWA ATOLL,22.445897,108,91.709005,372387000,Hua Jian 107,0-Underway(Engine),null,null,null,null,null,null,null,null,null,14.1,null,null,null,"""2021-07-10T07:09:42.000Z""",1625900982,7-Cargo,null,null,null
118,14,21,Shin Kurushima Onishi,3EMD9,0-AllShips,null,172.8,China,9683,Zhou_shan,8.125,8.1,10211600,null,Panama,8818,164,8911102,PUSAN,30.159805,144,122.270123,356155000,Triton Reefer,1-AtAnchor,52358PEXT,Wei Fong Shipping Co Ltd,Wei Fong Shipping Co Ltd,Unknown,Panama,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:37:18.000Z""",1668184638,7-Cargo,02/10/1989,18.25,null
32,1,7,Mukai,JL5237,0-AllShips,null,293.8,Japan,93,,3,0,0,null,Japan,168,293.8,0,YAWATAHAMA,33.922632,43,131.034583,431501445,Koryu Maru No.28,15-NotDefined,128312,Koryu Suisan,  Unknown,Unknown,"Unzen, Nagasaki",Propeller : Fixed Pitch,null,null,null,1,S,In Service/Commission,Fish Carrier,"""2021-06-09T21:07:29.000Z""",1623272849,30-Fishing,10/09/1985,11.75,SH
88,6,18,61 Kommunara,UBIH4,0-AllShips,Russian Maritime Register,-1,Russia,5250,Vvo,6.48,6.8,11081700,null,Russia,6989,196,8826759,PETROPAVLOVSK,43.101082,134,131.882837,273359920,Tavria,5-Moored,null,Vostokflot OOO,Vostokflot OOO,Ingosstrakh Insurance,Vladivostok,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:33:36.000Z""",1668184416,7-Cargo,null,14.9,SH
10,8,16,Basaran,TCB2047,0-AllShips,null,-1,Turkey,207,Izmir Cesme,null,2.6,11140600,null,Turkey,594,337,9089384,KABA BURNU,40.69784,42,29.462597,271056075,Akua Group 3,0-Underway(Engine),6572,Akua Group Su Urunleri AS,Akua Group Su Urunleri AS,Unknown,Istanbul,"Propeller : Yes, Type Unknown",null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-06-23T07:11:52.000Z""",1655968312,30-Fishing,null,0,SH
0.5,0.5,1,null,,Unknown,null,235.8,null,null,,null,0,0,null,null,null,235.8,0,JAKARTA,-6.007195,1,105.864935,525800114,Km Fortuna Vii,15-NotDefined,null,null,null,null,null,null,null,null,null,5,null,null,null,"""2022-10-21T21:58:43.000Z""",1666389523,0-Unknown,null,null,null
53,9,13,Baltijos,UCBY,0-AllShips,Russian Maritime Register,111.8,Russia,1396,Ru_:vvo,4.39,4.2,10100200,null,Russia,2392,240,9125920,VLADIVOSTOK,43.09225,85,131.896467,273818000,Diona,0-Underway(Engine),921096,NBSF JSC,NBSF JSC,Unknown,Vladivostok,Propeller : Fixed Pitch,427320123,UCBY,null,0,S,In Service/Commission,Fish Factory Ship,"""2022-11-11T16:34:47.000Z""",1668184487,7-Cargo,04/04/1994,11.3,SH
83,11,18,Kvaerner Kleven Ulsteinvik AS,C6YS6,9-NoInfo,Det Norske Veritas,27.3,Norway,6000,Nlrtm,7.41,5.4,11131800,null,Bahamas,5084,26,8819299,PORTO DE MUCURIPE,46.288947,109,-7.554785,311043800,Green Austevoll,0-Underway(Engine),8001808,GreenSea Chartering BVBA,Green Reefers,Hydor,Nassau                                ,Propeller : Controllable Pitch,null,null,null,13.7,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:28:20.000Z""",1668184100,7-Cargo,02/09/1990,16,null
63,11,13,Kurinoura Dockyard Co Ltd,H3YK,0-AllShips,Union Bureau of Shipping,229.1,Hong Kong,1753,Ningde,4.372,4.7,8231600,null,Panama,1891,229.1,8819691,PUSAN,25.229383,83,119.716613,371031000,Qian Yuan,15-NotDefined,5291222,Ginsil Holding Group Ltd,Ginsil Holding Group Ltd,Unknown,Panama,Propeller : Fixed Pitch,null,null,null,9.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-10-20T19:54:06.000Z""",1666295646,7-Cargo,null,12,null
100,10,18,null,BVEK,0-AllShips,null,31.5,null,null,Zhan.jiang,null,8,9171200,null,null,null,31,0,null,27.001072,128,120.550562,412455820,Jin Cheng Xing7,0-Underway(Engine),null,null,null,null,null,null,null,null,null,7.4,null,null,null,"""2021-07-04T13:55:55.000Z""",1625406955,7-Cargo,null,null,null
8,4,9,Parnica Stocznia Remontowa,LJMX3,0-AllShips,null,238,United Kingdom,500,Troon,null,4,11091800,null,Norway (Nis),498,196,9174476,KYLE OF LOCHALSH,55.550223,42,-4.683887,259568000,Viking Saga,0-Underway(Engine),null,Viking Atlantic AS,Aquaship UK Ltd,Hydor,Bergen                                ,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:34:15.000Z""",1668184455,7-Cargo,27/05/1998,10,SH
47,6,10,Watanabe Nagasaki,JD4127,0-AllShips,Flag authority,237.6,Japan,450,,4.008,0,0,null,Japan,300,260.7,0,SAKAI KO,35.547837,68,133.240968,431008827,Kaikomaru No81,15-NotDefined,142852,Kyowa Suisan KK,Kyowa Suisan KK,Unknown,"Sakaiminato, Tottori","Propeller : Yes, Type Unknown",null,null,null,0,S,In Service/Commission,Fishing Vessel,"""2022-11-02T05:31:53.000Z""",1667367113,30-Fishing,03/10/2016,0,SH
105,14,18,null,A8UV6,0-AllShips,null,16.6,null,null,Pago Pago,null,5.6,12281300,null,null,null,17,8807478,null,36.21248,125,125.107443,636014565,Frio Hamburg,5-Moored,null,null,null,null,null,null,null,null,null,10.9,null,null,null,"""2022-05-28T09:30:28.000Z""",1653730228,7-Cargo,null,null,null
30,6,15,null,LFGF,9-NoInfo,null,70.2,null,null,Fishfarm Ch16,null,7,8290000,null,null,null,72,9828792,null,62.987827,76,6.93301,257086024,Aqua Kvaloey,0-Underway(Engine),null,null,null,null,null,null,null,null,null,10.5,null,null,null,"""2021-05-23T20:38:39.000Z""",1621802319,7-Cargo,null,null,null
50,6,10,Zvezda,UBBF9,0-AllShips,Russian Maritime Register,39.8,Russia,891,Ru Vvo,3.3,2.7,10161500,null,Russia,993,39.8,9183037,BUKHTA VANINO,43.0403,63,131.869002,273334010,Kurilskoye Ozero,0-Underway(Engine),null,Gorizont DV Co Ltd,Galeon JSC,Unknown,Petropavlovsk-Kamchatskiy,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-08T03:56:45.000Z""",1667879805,7-Cargo,1996-00-00,11,null
74,4,17,Kurinoura Dockyard Co Ltd,H3EQ,0-AllShips,Nippon Kaiji Kyokai,102.7,Japan,4218,Jp Smz,6.5,6.2,11301200,null,Panama,3989,107,9620384,VALLETTA HARBORS,14.138288,99,53.969045,374888000,Genta Maru,0-Underway(Engine),5032919,Toei Reefer Line Ltd,Toei Reefer Line Ltd,Japan P&I Club,Panama,"Propeller : Yes, Type Unknown",null,null,null,12.4,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-10T17:47:43.000Z""",1668102463,7-Cargo,04/08/2011,15,null
0,0,22,Shikoku Dockyard,3EYJ5,0-AllShips,null,104.4,China,10742,,9.067,0,2460,null,Panama,10405,201,8921470,TARAWA ATOLL,30.052368,150,121.83787,351960000,Ming Hang 5,8-Underway(Sailing),49842PEXT,Minghang International-HKG,He R,Shipowners' Club,Panama,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-10T02:00:14.000Z""",1668045614,7-Cargo,11/08/1990,20,null
67,7,15,Marine Projects Ltd Sp z oo,LEAH,0-AllShips,Det Norske Veritas,239.1,Norway,5500,Info. Ch 16,6.864,8,3211234,null,Norway,3579,238,9794965,BODO,66.230208,82,12.451482,258685000,Ro North,0-Underway(Engine),null,Rostein AS,Rostein AS,Unknown,Aalesund,Propeller : Controllable Pitch,null,null,null,8.7,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:38:51.000Z""",1668184731,9-Other,01/07/2016,13,SH
38,2,12,Celiktrans,CA5568,0-AllShips,null,222,Norway,2559,Puerto Natales,5.7,6.5,11071100,null,Chile,1471,314,9680918,PUERTO NATALES,-51.698208,59,-72.527575,725001543,Grip Pacific,1-AtAnchor,3404,Aquaship Service AS,Gripship AS,Unknown,Valparaiso,Propeller : Controllable Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T15:27:36.000Z""",1668180456,7-Cargo,23/01/2014,10.5,SH
161,20,24,Fincantieri Ancona,IBID,9-NoInfo,Registro Italiano Navale,266.8,Italy,16024,Rio Haina,8.76,7.3,11202000,null,Italy,14868,267,9164768,PUERTO DE HAINA,35.860507,189,-11.12234,247585000,Cala Pula,8-Underway(Sailing),125,Cosiarma SpA,Fruttital Distribuzione Srl,Gard,Genoa,Propeller : Fixed Pitch,null,null,null,18.3,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T14:28:20.000Z""",1668176900,7-Cargo,16/05/1999,21.5,null
8,3,6,null,WDH6884,0-AllShips,null,233.9,null,null,,null,0,0,null,null,null,351.9,0,SELDOVIA,59.437367,18,-151.716342,366943880,Joann Marie,15-NotDefined,null,null,null,null,null,null,null,null,null,0.1,null,null,null,"""2022-11-11T16:35:39.000Z""",1668184539,30-Fishing,null,null,null
16,3,7,Astrakhanskaya,,0-AllShips,Russian Maritime Register,13.9,Russia,70,Kerch,2.1,2.5,0,null,Russia,190,139.6,9101340,KERCH,45.358308,32,36.479113,273397950,Takil,5-Moored,null,Viktorovich KD,  Unknown,Unknown,Novorossiysk,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T11:49:20.000Z""",1668167360,30-Fishing,null,10.2,SH
287,36,60,Imabari Shbldg - Saijo,9HA5579,0-AllShips,Det Norske Veritas,150.6,Japan,313164,Qa Asn,21.05,11.2,11151300,null,Malta,160255,246,9876440,RAS  TANNURAH,23.876103,339,61.157915,229738000,Seaduchess,0-Underway(Engine),9876440,Navios Tankers Management Inc,Shoei Kisen KK,Standard Club,Valletta,Propeller : Fixed Pitch,null,null,null,0.9,S,In Service/Commission,Crude Oil Tanker,"""2022-11-11T10:10:42.000Z""",1668161442,8-Tanker,26/10/2021,13,DH
0,0,0,null,,0-AllShips,null,0,null,null,,null,0,0,null,null,null,0,0,TANJUNG BALAI KARIMUN,0.992933,0,103.421453,525209465,Tirta Jaya Baru-98,15-NotDefined,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2022-06-04T16:25:33.000Z""",1654359933,7-Cargo,null,null,null
89,8,16,null,3FIX7,0-AllShips,null,-1,null,null,Chittagong,null,5,9251530,null,null,null,-1,9012173,KAO-HSIUNG,22.456422,113,91.720787,353585000,Get Luck,6-Aground,null,null,null,null,null,null,null,null,null,0.8,null,null,null,"""2021-09-25T20:54:43.000Z""",1632603283,8-Tanker,null,null,null
40,0,0,Nagasaki,JM5808,0-AllShips,null,240.3,Japan,null,,3.9,0,0,null,Japan,295,5.7,0,KARATSU,33.361767,50,129.435015,431601121,Genpukumaru No.67,15-NotDefined,130438,Toyo Gyogyo KK-Tokyo,Toyo Gyogyo KK-Tokyo,Unknown,"Hirado, Nagasaki",Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fishing Vessel,"""2022-04-01T23:19:31.000Z""",1648855171,30-Fishing,29/09/1988,0,SH
34,6,11,Murakami Ishinomaki,UCDP,0-AllShips,Russian Maritime Register,12.1,Russia,534,Ome,4.95,6.2,11070100,null,Russia,1061,356,8708139,MOMBETU KO,53.95544,68,154.886053,273376120,Moneron,0-Underway(Engine),null,Moneron-Yuzhno-Sakhalinsk,Moneron-Yuzhno-Sakhalinsk,Unknown,Nevelsk,Propeller : Controllable Pitch,null,null,null,2.2,S,In Service/Commission,Fish Carrier,"""2022-11-11T07:53:50.000Z""",1668153230,30-Fishing,25/10/1987,14.5,SH
0,0,0,null,YEA5491,0-AllShips,null,23.7,null,null,,null,0,0,null,null,null,23.7,0,JAKARTA,-5.879757,0,106.845532,525800250,Mitra Utama Semesta,15-NotDefined,null,null,null,null,null,null,null,null,null,7.1,null,null,null,"""2022-09-21T00:21:35.000Z""",1663719695,30-Fishing,null,null,null
113,10,21,Shin Kochi,C6ZG7,2-HazCatB,Nippon Kaiji Kyokai,57.4,Greece,11793,Jacksonville,9.175,6,11072000,null,Bahamas,9649,189,9189897,JACKSONVILLE,30.35101,144,-81.620663,311054900,Atlantic Acanthus,5-Moored,8001905,Seatrade Reefer Chartering NV,Chartworld Shipping Corp,UK P&I,Nassau                                ,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:31:17.000Z""",1668184277,7-Cargo,02/12/1998,20,null
15,4,9,Lancaster,WDM3926,0-AllShips,null,122.1,United States of America,null,Seattle,null,0,2460,null,United States Of America,1134,122,8856613,BELLINGHAM,47.66213,56,-122.383587,367445470,Cape Greig,0-Underway(Engine),654947,Beagle LLC,Beagle LLC,Unknown,"Seattle, WA",Propeller : Fixed Pitch,null,null,null,4.4,S,In Service/Commission,Fishing Vessel,"""2022-08-13T13:03:42.000Z""",1660395822,30-Fishing,null,0,SH
52,5,10,null,,0-AllShips,null,157.4,null,null,Busan Korea,null,4.8,5020800,null,null,null,156,0,null,43.752783,55,156.7289,577102000,Mastar 102,5-Moored,null,null,null,null,null,null,null,null,null,11.5,null,null,null,"""2022-09-26T07:08:00.000Z""",1664176080,30-Fishing,null,null,null
12,6,11,Jiangsu Wuxi Shipyard Co Ltd,HP3660,0-AllShips,American Bureau of Shipping,172.6,Irish Republic,336,Small Craft Anchorg,4.4,4.5,10230900,null,Panama,499,40,9466673,RAS LAFFAN,25.835305,40,51.67497,352739000,Vm Pride,3-ResManoeuvre,53606PEXT,VM Marine International Ltd,Credebt Exchange Ltd,Unknown,Panama,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Anchor Hoy,"""2022-11-11T16:30:11.000Z""",1668184211,31-Towing,24/09/2007,0,SH
71,3,14,Narasaki Zosen KK,DSQW2,0-AllShips,Korean Register,139.3,South Korea,2733,Tarawa,5.163,5.8,11271000,null,"Korea, South",2623,133,9020780,POHNEPI HARBOR,26.69316,94,135.343023,441720000,Lake Win,0-Underway(Engine),JJR-102283,Ji Sung Shipping Co Ltd,Ji Sung Shipping Co Ltd,North of England,Jeju,Propeller : Fixed Pitch,null,null,Other Cargo Ship,9,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:03:42.000Z""",1668182622,7-Cargo,08/06/1991,13,null
40,5,11,Bijlsma Scheepswerf BV,LAVG,0-AllShips,Bureau Veritas,21.4,Norway,2168,Aghabeg,4.45,5,11121230,null,Norway,1105,262,9052680,ROSSLARE,52.29782,60,-6.326207,259605000,Aqua Transporter,1-AtAnchor,null,Aquaship Shipholding AS,Aquaship Shipholding AS,Unknown,Kristiansund,Propeller : Fixed Pitch,null,null,null,0.6,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:38:02.000Z""",1668184682,7-Cargo,19/03/1993,10.5,SH
144,13,27,Imabari Shbldg - Imabari,3EIX6,0-AllShips,Nippon Kaiji Kyokai,32.3,Hong Kong,28520,Chang Zhou,9.759,9.8,11102300,null,Panama,16848,336,9225512,LIANYUNGANG,31.236642,169,122.47961,355357000,Boshi 56,1-AtAnchor,5089819B,Boshi Int'l Shipping Mgmt Ltd,  Unknown,West of England,Panama,Propeller : Fixed Pitch,null,null,null,0.1,S,In Service/Commission,Bulk Carrier,"""2022-11-11T10:47:22.000Z""",1668163642,7-Cargo,09/02/2000,14,SH
137,18,25,Kitanihon,A8VR5,1-HazCatA,Bureau Veritas,58.2,Netherlands,15609,Mgtoa,10.05,8,11091200,null,Liberia,14091,39,9454759,TOAMASINA,-18.118102,165,49.419837,636014655,Baltic Klipper,1-AtAnchor,14655,Seatrade Reefer Chartering NV,Seatrade Groningen BV,Skuld,Monrovia                              ,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:07:03.000Z""",1668182823,7-Cargo,18/05/2010,20.4,null
92,10,18,null,UBWS4,9-NoInfo,null,347.8,null,null,,null,0,12050900,null,null,null,157.7,0,TEMA,13.630485,134,100.538527,273451390,Frio Arkhangelsk,5-Moored,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2021-12-22T06:17:02.000Z""",1640153822,7-Cargo,null,null,null
12,3,7,null,WDD2516,0-AllShips,null,246.3,null,null,Tendering,null,2,9160000,null,null,null,237.2,0,KETCHIKAN,48.512392,24,-122.645973,367116310,Wild Salmon,0-Underway(Engine),null,null,null,null,null,null,null,null,null,0.1,null,null,null,"""2022-09-03T15:53:19.000Z""",1662220399,30-Fishing,null,null,null
28,7,14,Rigas Buvetava,LAWU,0-AllShips,null,194.5,Norway,2220,Fishfarms,5.4,5.6,10140900,null,Norway,2057,200,9392547,ORNSAY,57.013072,68,-5.822597,258799000,Ronja Harvester,0-Underway(Engine),null,Solvtrans Rederi AS,Solvtrans Rederi AS,Gard,Aalesund,Propeller : Controllable Pitch,null,null,null,5.3,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:40:47.000Z""",1668184847,7-Cargo,22/02/2007,14,SH
40,5,9,Huanghai Shipbuilding Co Ltd,BROK,0-AllShips,China Classification Society,185.3,China,673,Ning   De,3.7,3.8,9261500,null,"China, People's Republic Of",497,185.3,9279903,CHINAE,30.115778,54,122.729068,413704470,Feng  Hai  66,0-Underway(Engine),null,Fuzhou Anzhi Shipping Co Ltd,Fuzhou Anzhi Shipping Co Ltd,Unknown,"Fuzhou, Fujian","Propeller : Yes, Type Unknown",null,null,null,10,S,In Service/Commission,Fish Carrier,"""2022-09-25T03:02:12.000Z""",1664074932,7-Cargo,15/07/2002,12,SH
44,4,10,Asenav,CB7846,Unknown,null,24.7,Chile,785,Quellon,5,5.5,11120500,null,Chile,644,23,9296171,PUERTO MONTT,-45.425702,49,-73.718473,725002370,Patagon Iv,8-Underway(Sailing),3079,Patagonia Travelling,  Unknown,Hydor,Valparaiso,Propeller : Controllable Pitch,null,null,null,9.7,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:36:51.000Z""",1668184611,0-Unknown,19/07/2003,0,SH
84,3,16,null,UBSR2,0-AllShips,null,109.9,null,null,Gn Tem,null,5.5,7130600,null,null,null,147,8514784,TEMA,5.567283,115,0.038758,273432340,Nova Zeelandia,1-AtAnchor,null,null,null,null,null,null,null,null,null,0.3,null,null,null,"""2022-07-15T11:54:20.000Z""",1657886060,7-Cargo,null,null,null
16,4,6,Liong Amat,,0-AllShips,null,359.4,Indonesia,null,,null,0,0,null,Indonesia,108,359.4,0,null,2.907293,26,127.840342,525600227,Nusantara 89,15-NotDefined,null,Bintang Mandiri Bersaudara PT,  Unknown,Unknown,Tanjung Priok,Propeller : Fixed Pitch,null,null,null,2,S,In Service/Commission,Fish Carrier,"""2022-10-12T18:59:57.000Z""",1665601197,30-Fishing,null,0,null
92,9,18,61 Kommunara,UHOU,0-AllShips,Russian Maritime Register,-1,Russia,7915,Ch Dlc,7.89,7.4,10281900,null,Russia,6971,16,9082180,VLADIVOSTOK,39.0147,134,121.70045,273310720,Gennady Vodolazskiy,5-Moored,null,Okeanrybflot JSC,Okeanrybflot JSC,Ingosstrakh Insurance,Petropavlovsk-Kamchatskiy,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-10T14:43:16.000Z""",1668091396,7-Cargo,01/05/1993,15,SH
98,9,18,Guangxin Shipbuilding & HI,C6DL6,0-AllShips,Bureau Veritas,138.1,Netherlands,7158,Abidjan,6.3,6.2,11100700,null,Bahamas,6088,213,9795969,ABIDJAN,5.274617,115,-4.034967,311000712,Orange Spirit,1-AtAnchor,7001080,Seatrade Groningen BV,Seatrade Groningen BV,North of England,Nassau,Propeller : Fixed Pitch,null,null,Other cargo ship,0.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:23:23.000Z""",1668183803,7-Cargo,09/04/2018,14,null
63,9,15,Daishan Choujiamen Shbldg,3FYT4,0-AllShips,Panama Maritime Documentation,268.4,China,2300,Ch Zhoushan,5.2,5.6,11190500,null,Panama,1998,351,9586332,PULAU SAMBU,42.262492,81,147.46411,374173000,Han Xing,0-Underway(Engine),4760616B,Rui Cheng International,  Unknown,MS Amlin Marine,Panama,"Propeller : Yes, Type Unknown",null,null,null,7.7,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-10T23:28:52.000Z""",1668122932,7-Cargo,25/06/2010,0,null
90,9,17,Huanghai Shipbuilding Co Ltd,BZYM4,0-AllShips,null,229.7,China,null,,7.4,0,0,GH-0516,"China, People's Republic Of",5050,229.7,9882803,PUSAN,17.88127,118,62.497587,412336831,Lurongyuanyuyun008,0-Underway(Engine),null,Rongcheng Chishan Ocean Fish,  Unknown,Unknown,"Shidao, Shandong",Propeller : Fixed Pitch,null,null,null,1.3,S,In Service/Commission,Fish Carrier,"""2022-10-17T20:53:42.000Z""",1666040022,30-Fishing,null,0,null
19,2,4,"Suyono, A",YDB4680,0-AllShips,null,154.5,Indonesia,null,,null,0,0,null,Indonesia,163,154,0,BALIKPAPAN,-1.421748,22,116.89306,525005328,Cb Servewell Spirit,15-NotDefined,15.19.0001.02.45433,Berkah Melimpah Jaya,  Unknown,Unknown,Cilacap,Propeller : Fixed Pitch,null,null,null,9.4,S,In Service/Commission,Fish Carrier,"""2022-05-07T23:15:04.000Z""",1651965304,4-HSC,null,0,null
